year,N,p50,p1,p25,p75,p99
1971,1310,50,18,38,67,117
1972,1880,51,16,37,66,126
1973,2384,50,11,36,66,120
1974,2469,51,15,36,70,131
1975,2497,50,15,35,67,119
1976,2514,49,13,34,64,120
1977,2478,48,13,33,64,118
1978,2413,48,11,32,64,114
1979,2369,47,11,32,64,119
1980,2352,47.5,13,33,62,120
1981,2352,48,14,33,62,128
1982,2996,48,13,34,67,115
1983,3674,50,13,36,68,122
1984,3895,51,15,37,72,120
1985,3873,52,15,37,72,121
1986,4057,51,14,37,73,120
1987,4308,53,15,36,76,130
1988,4182,52,13,35,75,124
1989,4089,51,12,36,75,130
1990,4134,50,15,35,75,130
1991,4379,50,14,35,73,126
1992,4743,49,14,34,70,126
1993,5364,48,14,33,69,119
1994,6041,46,13,32,67,121
1995,6385,45,12,31,65,118
1996,6821,44,15,30,63,110
1997,7116,44,14,30,64,113
1998,6963,44,13,29,63,148
1999,7250,46,13,29,68,159
2000,7185,45,14,31,71,163
2001,6544,44,14,30,67,177
2002,6125,44,14,30,69,178
2003,5840,43,14,29,65,153
2004,5802,48,15,33,69,166
2005,5726,48,17,33,69,181
2006,5632,51,16,36,71,181
2007,5498,52,16,36,71,137
2008,5214,52,18,36,70,135
2009,4955,53,19,35,68,113
2010,4846,50,18,35,67,119
2011,4758,52,18,37,67,117
2012,4706,51,16,37,66,120
2013,4777,51,16,36,65,119
2014,4972,51,20,36,66,117
2015,4913,54,19,36,68,120
2016,4791,53,18,38,67,121
2017,4785,53,18,39,67,120
2018,4813,54,17,38,70,130
2019,4820,56,17,40,71,164
