year,N,p50
1972,1287,-1
1973,1853,0
1974,2312,1
1975,2391,-1
1976,2415,-1
1977,2398,-1
1978,2343,-1
1979,2280,-1
1980,2246,-1
1981,2206,-1
1982,2166,-1
1983,2749,-1
1984,3223,0
1985,3346,0
1986,3313,-1
1987,3488,-1
1988,3605,-1
1989,3549,-1
1990,3587,-1
1991,3707,-1
1992,3930,-1
1993,4303,-1
1994,4676,-1
1995,5267,-1
1996,5577,-1
1997,5974,-1
1998,5986,-1
1999,5953,-1
2000,6271,-1
2001,6192,-1
2002,5828,0
2003,5552,-1
2004,5382,0
2005,5319,-1
2006,5219,-1
2007,5052,-1
2008,5002,-1
2009,4768,-1
2010,4559,-1
2011,4498,-1
2012,4461,-1
2013,4417,-1
2014,4498,-1
2015,4601,-1
2016,4536,-1
2017,4454,-1
2018,4446,-1
2019,4487,-1
