fyear,d_car_prd1,d_car_prd2,d_car_prd3
1972,0.210,0.018,0.026
1973,0.315,0.022,0.037
1974,0.304,0.020,-0.005
1975,0.239,0.009,-0.037
1976,0.192,0.012,0.025
1977,0.196,0.005,0.034
1978,0.161,0.004,-0.009
1979,0.212,-0.001,0.024
1980,0.154,0.007,0.018
1981,0.224,0.006,0.040
1982,0.242,0.007,-0.014
1983,0.184,0.004,0.017
1984,0.262,0.007,0.019
1985,0.257,0.006,0.039
1986,0.214,0.010,0.024
1987,0.271,0.007,0.036
1988,0.256,0.008,0.067
1989,0.313,0.013,0.066
1990,0.356,0.016,0.023
1991,0.341,0.015,-0.010
1992,0.298,0.009,0.031
1993,0.271,0.009,0.012
1994,0.286,0.011,0.019
1995,0.284,0.007,0.016
1996,0.281,0.005,0.044
1997,0.263,0.009,0.032
1998,0.287,0.013,-0.020
1999,0.262,0.020,0.072
2000,0.428,0.017,0.085
2001,0.323,0.014,0.093
2002,0.256,0.012,0.020
2003,0.222,0.006,-0.008
2004,0.187,0.012,0.030
2005,0.189,0.010,0.031
2006,0.196,0.010,0.034
2007,0.257,0.009,0.079
2008,0.326,0.027,-0.067
2009,0.256,0.011,0.003
2010,0.181,0.010,0.035
2011,0.224,0.015,0.047
2012,0.200,0.011,0.027
2013,0.149,0.012,0.032
2014,0.154,0.009,0.024
2015,0.261,0.011,-0.027
2016,0.176,0.011,0.021
2017,0.120,0.009,0.007
2018,0.170,0.012,0.013
2019,0.231,0.015,0.005
